station_name,district,ps_cd_mha,thana_id,thana_name,tier,mappable,rule,by_name,by_name_confidence,by_geometry,by_geometry_name,by_geometry_similarity,proposal
BIHIYA,BHOJPUR,5124008,BH-5124008,BIHIYAN,name-over-geometry,True,"name matched 'BIHIYAN' at 0.909; point fell in 'JAGDISHPUR', which is the unreliable witness",BH-5124008,0.909,BH-5124011,JAGDISHPUR,0.267,
DHANGAI,BHOJPUR,5124009,BH-5124009,DHANGAI,confirmed,True,name and geometry agree,BH-5124009,1.0,BH-5124009,DHANGAI,1.0,
JAGDISHPUR,BHOJPUR,5124011,BH-5124011,JAGDISHPUR,name-over-geometry,True,"name matched 'JAGDISHPUR' at 1.0; point fell in 'DHANGAI', which is the unreliable witness",BH-5124011,1.0,BH-5124009,DHANGAI,0.353,
KOILWAR,BHOJPUR,5124012,BH-5124012,KOILWAR,confirmed,True,name and geometry agree,BH-5124012,1.0,BH-5124012,KOILWAR,1.0,
MUFASSIL,BHOJPUR,5124015,BH-5124015,MUFASSIL,confirmed,True,name and geometry agree,BH-5124015,1.0,BH-5124015,MUFASSIL,1.0,
NAWADA,BHOJPUR,5124016,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.5,BH-5124015,MUFASSIL,0.154,BH-5124015
PAWANA,BHOJPUR,5124017,BH-5124017,PAWNA,confirmed,True,name and geometry agree,BH-5124017,0.909,BH-5124017,PAWNA,0.909,
PIRO,BHOJPUR,5124018,BH-5124018,PIRO,confirmed,True,name and geometry agree,BH-5124018,1.0,BH-5124018,PIRO,1.0,
SAHAAR,BHOJPUR,5124021,BH-5124021,SAHAR,confirmed,True,name and geometry agree,BH-5124021,1.0,BH-5124021,SAHAR,1.0,
SANDESH,BHOJPUR,5124022,BH-5124022,SANDESH,confirmed,True,name and geometry agree,BH-5124022,1.0,BH-5124022,SANDESH,1.0,
SHAHPUR,BHOJPUR,5124023,BH-5124023,SHAHPUR,confirmed,True,name and geometry agree,BH-5124023,1.0,BH-5124023,SHAHPUR,1.0,
SIKARHATTA,BHOJPUR,5124024,BH-5124024,SIKARHATA,confirmed,True,name and geometry agree,BH-5124024,1.0,BH-5124024,SIKARHATA,1.0,
TIYAR,BHOJPUR,5124028,BH-5124028,TIYAR,confirmed,True,name and geometry agree,BH-5124028,1.0,BH-5124028,TIYAR,1.0,
TARARI,BHOJPUR,5124029,BH-5124029,TARARI,confirmed,True,name and geometry agree,BH-5124029,1.0,BH-5124029,TARARI,1.0,
UDWANT NAGAR,BHOJPUR,5124030,BH-5124030,UDWANTNAGAR,confirmed,True,name and geometry agree,BH-5124030,1.0,BH-5124030,UDWANTNAGAR,1.0,
AGIAON BAZAR,BHOJPUR,5124032,BH-5124032,AGIAON BAZAR,confirmed,True,name and geometry agree,BH-5124032,1.0,BH-5124032,AGIAON BAZAR,1.0,
AIYAR,BHOJPUR,5124033,BH-5124033,AAYAR,confirmed,True,name and geometry agree,BH-5124033,1.0,BH-5124033,AAYAR,1.0,
AZIMABAD,BHOJPUR,5124034,BH-5124034,AZIMABAD,confirmed,True,name and geometry agree,BH-5124034,1.0,BH-5124034,AZIMABAD,1.0,
CHAURI,BHOJPUR,5124038,BH-5124038,CHAURI,confirmed,True,name and geometry agree,BH-5124038,1.0,BH-5124038,CHAURI,1.0,
IMADPUR,BHOJPUR,5124042,BH-5124042,IMADPUR,confirmed,True,name and geometry agree,BH-5124042,1.0,BH-5124042,IMADPUR,1.0,
NAGAR,BHOJPUR,5124044,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.667,BH-5124015,MUFASSIL,0.167,BH-5124015
Hasanbazar,BHOJPUR,5124045,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.762,BH-5124018,PIRO,0.143,BH-5124018
NARAINPUR,BHOJPUR,5124048,BH-5124048,NARAYANPUR,confirmed,True,name and geometry agree,BH-5124048,0.947,BH-5124048,NARAYANPUR,0.947,
KRISHNABRAHM,BUXAR,5793002,BH-5793012,KARISHNA BARHAM,corroborated,True,"name 'KRISHNABRAHM' ~ 'KARISHNA BARHAM' at 0.85, below the 0.86 threshold but the point falls inside it",,0.846,BH-5793012,KARISHNA BARHAM,0.846,
KORAN SARAI,BUXAR,5793003,BH-5793003,KORANSARAI,confirmed,True,name and geometry agree,BH-5793003,1.0,BH-5793003,KORANSARAI,1.0,
BRAHMPUR,BUXAR,5793005,BH-5793005,BRHAMPUR,confirmed,True,name and geometry agree,BH-5793005,0.875,BH-5793005,BRHAMPUR,0.875,
BAGENGOLA,BUXAR,5793006,BH-5793006,BAGENGOLA,confirmed,True,name and geometry agree,BH-5793006,1.0,BH-5793006,BAGENGOLA,1.0,
NAGAR,BUXAR,5793007,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.714,BH-5793014,MUFASSIL,0.167,BH-5793014
DUMRAON,BUXAR,5793009,BH-5793009,DUMRAON,confirmed,True,name and geometry agree,BH-5793009,1.0,BH-5793009,DUMRAON,1.0,
ITARHI,BUXAR,5793010,BH-5793010,ITARHI,confirmed,True,name and geometry agree,BH-5793010,1.0,BH-5793010,ITARHI,1.0,
MUFASSIL,BUXAR,5793014,BH-5793014,MUFASSIL,confirmed,True,name and geometry agree,BH-5793014,1.0,BH-5793014,MUFASSIL,1.0,
NAWA NAGAR,BUXAR,5793017,BH-5793017,NAWANAGAR,confirmed,True,name and geometry agree,BH-5793017,1.0,BH-5793017,NAWANAGAR,1.0,
RAJPUR,BUXAR,5793020,BH-5793020,RAJPUR,confirmed,True,name and geometry agree,BH-5793020,1.0,BH-5793020,RAJPUR,1.0,
SIMRI,BUXAR,5793025,BH-5793025,SIMRI,confirmed,True,name and geometry agree,BH-5793025,1.0,BH-5793025,SIMRI,1.0,
DHANSOI,BUXAR,5793026,BH-5793026,DHANSOI,confirmed,True,name and geometry agree,BH-5793026,1.0,BH-5793026,DHANSOI,1.0,
MURAR,BUXAR,5793027,BH-5793027,MURAR,confirmed,True,name and geometry agree,BH-5793027,1.0,BH-5793027,MURAR,1.0,
SIKRAUL,BUXAR,5793031,BH-5793031,SIKRAUL,confirmed,True,name and geometry agree,BH-5793031,1.0,BH-5793031,SIKRAUL,1.0,
Sonbarsha,BUXAR,5793032,BH-5793032,SOBARSA,confirmed,True,name and geometry agree,BH-5793032,0.875,BH-5793032,SOBARSA,0.875,
ASHOK PAPER MILLS,DARBHANGA,5106002,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.5,BH-5106002,APM,0.353,BH-5106002
BAHADURPUR,DARBHANGA,5106004,BH-5106004,BAHADURPUR,confirmed,True,name and geometry agree,BH-5106004,1.0,BH-5106004,BAHADURPUR,1.0,
BISHANPUR,DARBHANGA,5106005,BH-5106005,BISHANPUR,confirmed,True,name and geometry agree,BH-5106005,1.0,BH-5106005,BISHANPUR,1.0,
BAHERA,DARBHANGA,5106006,BH-5106006,BAHERA,confirmed,True,name and geometry agree,BH-5106006,1.0,BH-5106006,BAHERA,1.0,
BAHERI,DARBHANGA,5106007,BH-5106007,BAHERI,confirmed,True,name and geometry agree,BH-5106007,1.0,BH-5106007,BAHERI,1.0,
BIRAUL,DARBHANGA,5106011,BH-5106011,BIROUL,corroborated,True,"name 'BIRAUL' ~ 'BIROUL' at 0.83, below the 0.86 threshold but the point falls inside it",,0.833,BH-5106011,BIROUL,0.833,
HAYAGHAT,DARBHANGA,5106012,BH-5106012,HAYAGHAT,confirmed,True,name and geometry agree,BH-5106012,1.0,BH-5106012,HAYAGHAT,1.0,
L.N.M. UNIVERSITY,DARBHANGA,5106013,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.462,BH-5106072,DARBHANGA SADAR,0.148,BH-5106072
MORO,DARBHANGA,5106014,BH-5106014,MORO,confirmed,True,name and geometry agree,BH-5106014,1.0,BH-5106014,MORO,1.0,
RAIYAM,DARBHANGA,5106015,BH-5106015,REYAM,corroborated,True,"name 'RAIYAM' ~ 'REYAM' at 0.80, below the 0.86 threshold but the point falls inside it",,0.8,BH-5106015,REYAM,0.8,
GHAN SHYAMPUR,DARBHANGA,5106023,BH-5106023,GHANSHYAMPUR,confirmed,True,name and geometry agree,BH-5106023,1.0,BH-5106023,GHANSHYAMPUR,1.0,
JALAI,DARBHANGA,5106032,BH-5106032,JALE,corroborated,True,"'JALAI' and 'JALE': same consonant skeleton, unique in this district; the point falls inside it",,0.667,BH-5106032,JALE,0.667,
JAMALPUR,DARBHANGA,5106033,BH-5106033,JAMALPUR,confirmed,True,name and geometry agree,BH-5106033,1.0,BH-5106033,JAMALPUR,1.0,
KAMTAUL,DARBHANGA,5106035,BH-5106035,KAMTOL,corroborated,True,"name 'KAMTAUL' ~ 'KAMTOL' at 0.77, below the 0.86 threshold but the point falls inside it",,0.769,BH-5106035,KAMTOL,0.769,
KEUTI,DARBHANGA,5106037,BH-5106037,KEWTI,corroborated,True,"name 'KEUTI' ~ 'KEWTI' at 0.80, below the 0.86 threshold but the point falls inside it",,0.8,BH-5106037,KEWTI,0.8,
KUSESHWRA ASTHAN,DARBHANGA,5106038,BH-5106038,KUSHEWER STHAN,corroborated,True,"name 'KUSESHWRA ASTHAN' ~ 'KUSHEWER STHAN' at 0.81, below the 0.86 threshold but the point falls inside it",,0.815,BH-5106038,KUSHEWER STHAN,0.815,
LAHERIA SARAI,DARBHANGA,5106043,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.556,BH-5106072,DARBHANGA SADAR,0.462,BH-5106072
MANIGACHHI,DARBHANGA,5106052,BH-5106052,MANIGACHHI,confirmed,True,name and geometry agree,BH-5106052,1.0,BH-5106052,MANIGACHHI,1.0,
SEMARI BAZAR,DARBHANGA,5106054,BH-5106054,SIMRI,corroborated,True,"'SEMARI BAZAR' and 'SIMRI': same consonant skeleton, unique in this district; the point falls inside it",,0.5,BH-5106054,SIMRI,0.5,
DARBHANGA TOWN,DARBHANGA,5106055,BH-5106072,DARBHANGA SADAR,corroborated,True,"'DARBHANGA TOWN' and 'DARBHANGA SADAR': same consonant skeleton, unique in this district; the point falls inside it",,0.667,BH-5106072,DARBHANGA SADAR,0.667,
Alinagar,DARBHANGA,5106056,BH-5106056,ALI NAGAR,confirmed,True,name and geometry agree,BH-5106056,1.0,BH-5106056,ALI NAGAR,1.0,
SINGWARA,DARBHANGA,5106071,BH-5106071,SINGHWARA,confirmed,True,name and geometry agree,BH-5106071,1.0,BH-5106071,SINGHWARA,1.0,
DARBHANGA SADAR,DARBHANGA,5106072,BH-5106072,DARBHANGA SADAR,confirmed,True,name and geometry agree,BH-5106072,1.0,BH-5106072,DARBHANGA SADAR,1.0,
SANKATPUR,DARBHANGA,5106074,BH-5106074,SAKATPUR,confirmed,True,name and geometry agree,BH-5106074,0.941,BH-5106074,SAKATPUR,0.941,
AATI,GAYA,5109001,BH-5109001,ANTI,corroborated,True,"name 'AATI' ~ 'ANTI' at 0.86, below the 0.86 threshold but the point falls inside it",,0.857,BH-5109001,ANTI,0.857,
ALIPUR,GAYA,5109002,BH-5109002,ALIPUR,confirmed,True,name and geometry agree,BH-5109002,1.0,BH-5109002,ALIPUR,1.0,
AMAS,GAYA,5109003,BH-5109003,AMAS,name-over-geometry,True,"name matched 'AMAS' at 1.0; point fell in 'GURUA', which is the unreliable witness",BH-5109003,1.0,BH-5109029,GURUA,0.222,
ATRI,GAYA,5109004,BH-5109004,ATRI,name-only,True,no usable point; unambiguous name match,BH-5109004,1.0,,,0.0,
BANKE BAZAR,GAYA,5109005,BH-5109083,BANKE BAZAR,confirmed,True,name and geometry agree,BH-5109083,1.0,BH-5109083,BANKE BAZAR,1.0,
BARACHATTY,GAYA,5109007,BH-5109007,BARACHATTI,confirmed,True,name and geometry agree,BH-5109007,1.0,BH-5109007,BARACHATTI,1.0,
BELAGANJ,GAYA,5109009,BH-5109009,BELAGANJ,confirmed,True,name and geometry agree,BH-5109009,1.0,BH-5109009,BELAGANJ,1.0,
BODHGAYA,GAYA,5109010,BH-5109010,BODH GAYA,confirmed,True,name and geometry agree,BH-5109010,1.0,BH-5109010,BODH GAYA,1.0,
BUNIYADGANJ,GAYA,5109011,BH-5109011,BUNIYADGANJ,name-over-geometry,True,"name matched 'BUNIYADGANJ' at 1.0; point fell in 'MUFASSIL', which is the unreliable witness",BH-5109011,1.0,BH-5109051,MUFASSIL,0.235,
CHERKI,GAYA,5109012,BH-5109012,CHERKI,confirmed,True,name and geometry agree,BH-5109012,1.0,BH-5109012,CHERKI,1.0,
CHANDAULI,GAYA,5109013,,,needs-review,False,name too weak to accept and geometry does not corroborate it,BH-5109013,0.889,BH-5109049,MAGADH MEDICAL,0.273,BH-5109049
CIVIL LINES,GAYA,5109014,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.32,BH-5109049,MAGADH MEDICAL,0.182,BH-5109049
DELHA,GAYA,5109015,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.462,BH-5109049,MAGADH MEDICAL,0.333,BH-5109049
GURARU,GAYA,5109017,BH-5109017,GURARU,confirmed,True,name and geometry agree,BH-5109017,1.0,BH-5109017,GURARU,1.0,
DOBHI,GAYA,5109018,BH-5109082,DOBHI,confirmed,True,name and geometry agree,BH-5109082,1.0,BH-5109082,DOBHI,1.0,
DUMARIA,GAYA,5109019,BH-5109019,DUMARIA,confirmed,True,name and geometry agree,BH-5109019,1.0,BH-5109019,DUMARIA,1.0,
FATEHPUR,GAYA,5109022,BH-5109022,FATEHPUR,confirmed,True,name and geometry agree,BH-5109022,1.0,BH-5109022,FATEHPUR,1.0,
GURUA,GAYA,5109029,BH-5109029,GURUA,confirmed,True,name and geometry agree,BH-5109029,1.0,BH-5109029,GURUA,1.0,
HARIJAN P.S.,GAYA,5109031,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.615,BH-5109049,MAGADH MEDICAL,0.2,BH-5109049
IMAMGANJ,GAYA,5109036,BH-5109036,IMAMGANJ,confirmed,True,name and geometry agree,BH-5109036,1.0,BH-5109036,IMAMGANJ,1.0,
KHIZAR SARAI,GAYA,5109044,BH-5109044,KHIZIRSARAI,name-only,True,no usable point; unambiguous name match,BH-5109044,0.9,,,0.0,
KONCH,GAYA,5109045,BH-5109045,KONCH,confirmed,True,name and geometry agree,BH-5109045,1.0,BH-5109045,KONCH,1.0,
KOTHIGRAM,GAYA,5109047,BH-5109047,KOTHI,corroborated,True,"name 'KOTHIGRAM' ~ 'KOTHI' at 0.71, below the 0.86 threshold but the point falls inside it",,0.714,BH-5109047,KOTHI,0.714,
KOTWALI,GAYA,5109048,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.667,BH-5109049,MAGADH MEDICAL,0.2,BH-5109049
MAGADH MEDICAL COLLEGE,GAYA,5109049,BH-5109049,MAGADH MEDICAL,corroborated,True,"name 'MAGADH MEDICAL COLLEGE' ~ 'MAGADH MEDICAL' at 0.81, below the 0.86 threshold but the point falls inside it",,0.812,BH-5109049,MAGADH MEDICAL,0.812,
MAGADH VISWAVIDYALAY,GAYA,5109050,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.625,BH-5109010,BODH GAYA,0.296,BH-5109010
GAYA MUFASSIL,GAYA,5109051,BH-5109051,MUFASSIL,corroborated,True,"name 'GAYA MUFASSIL' ~ 'MUFASSIL' at 0.78, below the 0.86 threshold but the point falls inside it",,0.778,BH-5109051,MUFASSIL,0.778,
RAMPUR,GAYA,5109052,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.667,BH-5109049,MAGADH MEDICAL,0.211,BH-5109049
MOHANPUR,GAYA,5109053,BH-5109053,MOHANPUR,confirmed,True,name and geometry agree,BH-5109053,1.0,BH-5109053,MOHANPUR,1.0,
NEEMCHAK BADANI,GAYA,5109055,BH-5109055,NEEM CHAK BATHANI,confirmed,True,name and geometry agree,BH-5109055,0.889,BH-5109055,NEEM CHAK BATHANI,0.889,
Bhadwar,GAYA,5109056,BH-5109056,BHADWAR,confirmed,True,name and geometry agree,BH-5109056,1.0,BH-5109056,BHADWAR,1.0,
Chakand,GAYA,5109059,BH-5109059,CHAKAND,confirmed,True,name and geometry agree,BH-5109059,1.0,BH-5109059,CHAKAND,1.0,
Chhakarbandha,GAYA,5109060,BH-5109060,CHAKARBANDHA,confirmed,True,name and geometry agree,BH-5109060,1.0,BH-5109060,CHAKARBANDHA,1.0,
Lutua,GAYA,5109062,BH-5109062,LUTUA,confirmed,True,name and geometry agree,BH-5109062,1.0,BH-5109062,LUTUA,1.0,
PARAIYA,GAYA,5109064,BH-5109064,PARAIYA,confirmed,True,name and geometry agree,BH-5109064,1.0,BH-5109064,PARAIYA,1.0,
Maigra,GAYA,5109065,BH-5109065,MAIGRA,confirmed,True,name and geometry agree,BH-5109065,1.0,BH-5109065,MAIGRA,1.0,
Suhail,GAYA,5109066,,,needs-review,False,neither name nor geometry places this station,,0.833,,,0.0,
Tankuppa,GAYA,5109067,BH-5109067,TANKUPPA,confirmed,True,name and geometry agree,BH-5109067,1.0,BH-5109067,TANKUPPA,1.0,
ROSHANGANJ,GAYA,5109068,BH-5109068,RAUSHANGANJ,corroborated,True,"name 'ROSHANGANJ' ~ 'RAUSHANGANJ' at 0.86, below the 0.86 threshold but the point falls inside it",,0.857,BH-5109068,RAUSHANGANJ,0.857,
Vishnupad Temple,GAYA,5109070,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.364,BH-5109049,MAGADH MEDICAL,0.286,BH-5109049
SHERGHATI,GAYA,5109072,BH-5109072,SHERGHATI,confirmed,True,name and geometry agree,BH-5109072,1.0,BH-5109072,SHERGHATI,1.0,
TEKARI,GAYA,5109076,BH-5109076,TIKARI,corroborated,True,"name 'TEKARI' ~ 'TIKARI' at 0.83, below the 0.86 threshold but the point falls inside it",,0.833,BH-5109076,TIKARI,0.833,
MEN,GAYA,5109078,BH-5109078,MAIN,corroborated,True,"'MEN' and 'MAIN': same consonant skeleton, unique in this district; the point falls inside it",,0.571,BH-5109078,MAIN,0.571,
WAZIRGANJ,GAYA,5109080,BH-5109080,WAZIRGANJ,confirmed,True,name and geometry agree,BH-5109080,1.0,BH-5109080,WAZIRGANJ,1.0,
BARAULI,GOPALGANJ,5139001,BH-5139001,BARAULI,confirmed,True,name and geometry agree,BH-5139001,1.0,BH-5139001,BARAULI,1.0,
Hathua,GOPALGANJ,5139002,BH-5139002,HATHUA,confirmed,True,name and geometry agree,BH-5139002,1.0,BH-5139002,HATHUA,1.0,
BAIKUNTHPUR,GOPALGANJ,5139005,BH-5139005,BAIKUNTHPUR,confirmed,True,name and geometry agree,BH-5139005,1.0,BH-5139005,BAIKUNTHPUR,1.0,
BHORE,GOPALGANJ,5139006,BH-5139006,BHOREY,confirmed,True,name and geometry agree,BH-5139006,0.909,BH-5139006,BHOREY,0.909,
KUCHAIKOTE,GOPALGANJ,5139008,BH-5139008,KUCHAIKOTE,confirmed,True,name and geometry agree,BH-5139008,1.0,BH-5139008,KUCHAIKOTE,1.0,
KATEYA,GOPALGANJ,5139009,BH-5139009,KATIYA,confirmed,True,name and geometry agree,BH-5139009,0.909,BH-5139009,KATIYA,0.909,
MIRGANJ,GOPALGANJ,5139010,BH-5139010,MIRGANJ,name-over-geometry,True,"name matched 'MIRGANJ' at 1.0; point fell in 'UCHKAGAON', which is the unreliable witness",BH-5139010,1.0,BH-5139014,UCHKAGAON,0.375,
MAJHAGARH,GOPALGANJ,5139011,BH-5139011,MANJHAGARH,confirmed,True,name and geometry agree,BH-5139011,0.947,BH-5139011,MANJHAGARH,0.947,
VIJAYIPUR,GOPALGANJ,5139012,BH-5139012,BIJAYPUR,confirmed,True,name and geometry agree,BH-5139012,0.875,BH-5139012,BIJAYPUR,0.875,
MOHAMMADPUR,GOPALGANJ,5139013,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.609,BH-5139016,SIDHWALIA,0.316,BH-5139016
UCHKAGAON,GOPALGANJ,5139014,BH-5139014,UCHKAGAON,confirmed,True,name and geometry agree,BH-5139014,1.0,BH-5139014,UCHKAGAON,1.0,
YADOPUR,GOPALGANJ,5139015,BH-5139015,YADOPUR,confirmed,True,name and geometry agree,BH-5139015,1.0,BH-5139015,YADOPUR,1.0,
SIDHWALIA,GOPALGANJ,5139016,BH-5139016,SIDHWALIA,confirmed,True,name and geometry agree,BH-5139016,1.0,BH-5139016,SIDHWALIA,1.0,
THAWE,GOPALGANJ,5139017,BH-5139017,THAWE,confirmed,True,name and geometry agree,BH-5139017,1.0,BH-5139017,THAWE,1.0,
GOPALPUR,GOPALGANJ,5139018,BH-5139018,GOPALPUR,confirmed,True,name and geometry agree,BH-5139018,1.0,BH-5139018,GOPALPUR,1.0,
BISHAMBHARPUR,GOPALGANJ,5139022,BH-5139022,BISHAMBHARPUR,confirmed,True,name and geometry agree,BH-5139022,1.0,BH-5139022,BISHAMBHARPUR,1.0,
PHULWARIA,GOPALGANJ,5139025,BH-5139025,PHULWARIA,confirmed,True,name and geometry agree,BH-5139025,1.0,BH-5139025,PHULWARIA,1.0,
BARHAT,JAMUI,5799005,BH-5799005,BARHAT,confirmed,True,name and geometry agree,BH-5799005,1.0,BH-5799005,BARHAT,1.0,
CHAKAI,JAMUI,5799009,BH-5799009,CHAKAI,confirmed,True,name and geometry agree,BH-5799009,1.0,BH-5799009,CHAKAI,1.0,
CHANDRADEEP,JAMUI,5799016,BH-5799016,CHANDARDEEP,confirmed,True,name and geometry agree,BH-5799016,0.9,BH-5799016,CHANDARDEEP,0.9,
CHANDRAMANDI,JAMUI,5799019,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.727,BH-5799009,CHAKAI,0.556,BH-5799009
JAMUI,JAMUI,5799023,BH-5799023,JAMUI,confirmed,True,name and geometry agree,BH-5799023,1.0,BH-5799023,JAMUI,1.0,
JHAJHA,JAMUI,5799024,BH-5799024,JHAJHA,confirmed,True,name and geometry agree,BH-5799024,1.0,BH-5799024,JHAJHA,1.0,
KHAIRA,JAMUI,5799028,BH-5799028,KHAIRA,confirmed,True,name and geometry agree,BH-5799028,1.0,BH-5799028,KHAIRA,1.0,
LAKSHMIPUR,JAMUI,5799032,BH-5799032,LAKSHMIPUR,confirmed,True,name and geometry agree,BH-5799032,1.0,BH-5799032,LAKSHMIPUR,1.0,
SIMULTALLA,JAMUI,5799040,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.471,BH-5799024,JHAJHA,0.267,BH-5799024
MALAYPUR,JAMUI,5799043,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.667,BH-5799005,BARHAT,0.286,BH-5799005
SIKANDARA,JAMUI,5799047,BH-5799047,SIKANDRA,confirmed,True,name and geometry agree,BH-5799047,0.941,BH-5799047,SIKANDRA,0.941,
SONO,JAMUI,5799048,BH-5799048,SONHO,confirmed,True,name and geometry agree,BH-5799048,0.889,BH-5799048,SONHO,0.889,
Batia,JAMUI,5799052,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.6,BH-5799048,SONHO,0.0,BH-5799048
Garhi,JAMUI,5799056,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.545,BH-5799028,KHAIRA,0.4,BH-5799028
PALI,JEHANABAD,5790013,BH-5790013,PALI,confirmed,True,name and geometry agree,BH-5790013,1.0,BH-5790013,PALI,1.0,
PARAS BIGHA,JEHANABAD,5790016,BH-5790016,PARAS BIGHA,confirmed,True,name and geometry agree,BH-5790016,1.0,BH-5790016,PARAS BIGHA,1.0,
HULASGANJ,JEHANABAD,5790018,BH-5790018,HULASGANJ,confirmed,True,name and geometry agree,BH-5790018,1.0,BH-5790018,HULASGANJ,1.0,
KAKO,JEHANABAD,5790020,BH-5790020,KAKO,confirmed,True,name and geometry agree,BH-5790020,1.0,BH-5790020,KAKO,1.0,
GHOSI,JEHANABAD,5790026,BH-5790026,GHOSHI,confirmed,True,name and geometry agree,BH-5790026,0.889,BH-5790026,GHOSHI,0.889,
JEHANABAD,JEHANABAD,5790039,BH-5790039,JEHANABAD THANA,confirmed,True,name and geometry agree,BH-5790039,1.0,BH-5790039,JEHANABAD THANA,1.0,
MAKHDUMPUR,JEHANABAD,5790050,BH-5790050,MAKHADUMPUR,confirmed,True,name and geometry agree,BH-5790050,0.947,BH-5790050,MAKHADUMPUR,0.947,
Barabar Tourism,JEHANABAD,5790053,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.667,BH-5790009,BISHUNGANJ,0.25,BH-5790009
Junathi,JEHANABAD,5790054,,,needs-review,False,name too weak to accept and geometry does not corroborate it,,0.375,BH-5790016,PARAS BIGHA,0.25,BH-5790016
Okari,JEHANABAD,5790055,BH-5790055,OKARI OP,confirmed,True,name and geometry agree,BH-5790055,1.0,BH-5790055,OKARI OP,1.0,
SAKURABAD,JEHANABAD,5790073,BH-5790073,SHAKURABAD,confirmed,True,name and geometry agree,BH-5790073,0.947,BH-5790073,SHAKURABAD,0.947,
AJAM NAGAR,KATIHAR,5130001,BH-5130001,AZAMNAGAR,confirmed,True,name and geometry agree,BH-5130001,1.0,BH-5130001,AZAMNAGAR,1.0,
AMDABAD,KATIHAR,5130002,BH-5130002,AMDABAD,confirmed,True,name and geometry agree,BH-5130002,1.0,BH-5130002,AMDABAD,1.0,
ABADPUR,KATIHAR,5130003,BH-5130003,ABADPUR,confirmed,True,name and geometry agree,BH-5130003,1.0,BH-5130003,ABADPUR,1.0,
BARARI,KATIHAR,5130006,BH-5130006,BARARI,confirmed,True,name and geometry agree,BH-5130006,1.0,BH-5130006,BARARI,1.0,
BARSOI,KATIHAR,5130007,BH-5130007,BARSOI,confirmed,True,name and geometry agree,BH-5130007,1.0,BH-5130007,BARSOI,1.0,
FALKA,KATIHAR,5130008,BH-5130008,FALKA,confirmed,True,name and geometry agree,BH-5130008,1.0,BH-5130008,FALKA,1.0,
KORHA,KATIHAR,5130009,BH-5130009,KORHA,confirmed,True,name and geometry agree,BH-5130009,1.0,BH-5130009,KORHA,1.0,
NAGAR,KATIHAR,5130010,BH-5130010,KATIHAR NAGAR,corroborated,True,'NAGAR' and 'KATIHAR NAGAR': one name contains the other; the point falls inside it,,0.714,BH-5130010,KATIHAR NAGAR,0.588,
DANDKHORA,KATIHAR,5130011,BH-5130011,DANDKHORA,confirmed,True,name and geometry agree,BH-5130011,1.0,BH-5130011,DANDKHORA,1.0,
KADWA,KATIHAR,5130012,BH-5130012,KADWA,name-over-geometry,True,"name matched 'KADWA' at 1.0; point fell in 'KATIHAR NAGAR', which is the unreliable witness",BH-5130012,1.0,BH-5130010,KATIHAR NAGAR,0.353,
MUFASSIL,KATIHAR,5130013,BH-5130013,MUFASSIL,name-over-geometry,True,"name matched 'MUFASSIL' at 1.0; point fell in 'SHAYAK', which is the unreliable witness",BH-5130013,1.0,BH-5130066,SHAYAK,0.308,
MANSAHI,KATIHAR,5130014,BH-5130014,MANSAHI,confirmed,True,name and geometry agree,BH-5130014,1.0,BH-5130014,MANSAHI,1.0,
PRANPUR,KATIHAR,5130016,BH-5130016,PRANPUR,name-over-geometry,True,"name matched 'PRANPUR' at 1.0; point fell in 'ROSHNA', which is the unreliable witness",BH-5130016,1.0,BH-5130026,ROSHNA,0.308,
KURSAILA,KATIHAR,5130017,BH-5130017,KURSELA,corroborated,True,"name 'KURSAILA' ~ 'KURSELA' at 0.80, below the 0.86 threshold but the point falls inside it",,0.8,BH-5130017,KURSELA,0.8,
MANIHARI,KATIHAR,5130019,BH-5130019,MANIHARI,confirmed,True,name and geometry agree,BH-5130019,1.0,BH-5130019,MANIHARI,1.0,
Sahayak Thana,KATIHAR,5130023,BH-5130066,SHAYAK,name-over-geometry,True,"name matched 'SHAYAK' at 0.923; point fell in 'KATIHAR NAGAR', which is the unreliable witness",BH-5130066,0.923,BH-5130010,KATIHAR NAGAR,0.421,
