station_id,ps_cd_mha,name,district,district_raw,kind,latitude,longitude,thana_id,match_method,name_agreement
BH-PS-5137074,5137074,KHAIRA,AURANGABAD,AURANGABAD,territorial,24.7092,84.1008,BH-5137074,spatial-only,0.714
BH-PS-5137075,5137075,KHUDWAN,AURANGABAD,AURANGABAD,territorial,24.9645,84.4885,BH-5137075,spatial+name,1.0
BH-PS-5137076,5137076,MAHILA,AURANGABAD,AURANGABAD,mahila,24.7473,84.3817,,located-in-BH-5137003-not-mapped,0.615
BH-PS-5137077,5137077,NARARI KALA KHURD,AURANGABAD,AURANGABAD,territorial,24.7826,84.1536,BH-5137001,spatial-only,0.211
BH-PS-5137078,5137078,SALAIYA,AURANGABAD,AURANGABAD,territorial,24.7046,84.6132,BH-5137078,spatial+name,1.0
BH-PS-5137079,5137079,SC/ST,AURANGABAD,AURANGABAD,sc_st,24.7474,84.3816,,located-in-BH-5137003-not-mapped,0.182
BH-PS-5137080,5137080,SIMRA,AURANGABAD,AURANGABAD,territorial,24.6824,84.3514,BH-5137080,spatial+name,1.0
BH-PS-5137081,5137081,TANRWA,AURANGABAD,AURANGABAD,territorial,24.5467,84.1381,BH-5137081,spatial+name,0.833
BH-PS-5137082,5137082,Azan,AURANGABAD,AURANGABAD,territorial,24.6386,84.5225,BH-5137049,spatial-only,0.5
BH-PS-5137083,5137083,Bandeya,AURANGABAD,AURANGABAD,territorial,24.919,84.6809,BH-5137083,spatial+name,1.0
BH-PS-5137087,5137087,Aurangabad Prohibition,AURANGABAD,AURANGABAD,prohibition,24.755117,84.3,,located-in-BH-5137077-not-mapped,0.229
BH-PS-5803001,5803001,WALMIKINAGAR,BAGAHA,BAGAHA,territorial,27.425,83.9026,BH-5803001,spatial+name,1.0
BH-PS-5803002,5803002,Bhitaha,BAGAHA,BAGAHA,territorial,26.913827,84.160859,BH-5803048,spatial+name,0.923
BH-PS-5803005,5803005,BAGAHA,BAGAHA,BAGAHA,territorial,27.1002,84.0918,BH-5127013,spatial-only,0.375
BH-PS-5803010,5803010,THAKRAHAN,BAGAHA,BAGAHA,territorial,26.7497,84.2645,,district-conflict,0.0
BH-PS-5803014,5803014,DHANAHA,BAGAHA,BAGAHA,territorial,26.9507,84.1505,BH-5803014,spatial+name,1.0
BH-PS-5803016,5803016,CHAUTARVA,BAGAHA,BAGAHA,territorial,27.0494,84.2286,BH-5803016,spatial+name,1.0
BH-PS-5803017,5803017,LAUKARIA,BAGAHA,BAGAHA,territorial,27.3033,84.0187,BH-5803017,spatial+name,1.0
BH-PS-5803022,5803022,GOBARDHANA,BAGAHA,BAGAHA,territorial,27.2882,84.3412,BH-5803022,spatial+name,0.9
BH-PS-5803023,5803023,RAMNAGAR,BAGAHA,BAGAHA,territorial,27.1718,84.3361,BH-5803023,spatial+name,1.0
BH-PS-5803027,5803027,SEMRA,BAGAHA,BAGAHA,territorial,27.216,84.1251,BH-5803027,spatial+name,1.0
BH-PS-5803030,5803030,PIPRASI,BAGAHA,BAGAHA,territorial,27.0637,84.0182,BH-5803030,spatial+name,1.0
BH-PS-5803041,5803041,NAURANGIA,BAGAHA,BAGAHA,territorial,27.2612,83.9944,BH-5803041,spatial+name,1.0
BH-PS-5803042,5803042,GOBRAHIYA,BAGAHA,BAGAHA,territorial,26.9379,84.0498,BH-5803014,spatial-only,0.4
BH-PS-5797001,5797001,AMARPUR,BANKA,BANKA,territorial,25.0414,86.8997,BH-5797001,spatial+name,1.0
BH-PS-5797002,5797002,DHORAIYA,BANKA,BANKA,territorial,24.9788,87.136,BH-5797002,spatial+name,0.857
BH-PS-5797005,5797005,BANKA,BANKA,BANKA,territorial,24.892,86.9149,BH-5797005,spatial+name,1.0
BH-PS-5797008,5797008,BAUNSI,BANKA,BANKA,territorial,24.8145,87.023,BH-5797008,spatial+name,0.909
BH-PS-5797009,5797009,BELHAR,BANKA,BANKA,territorial,24.9207,86.5949,BH-5797009,spatial+name,1.0
BH-PS-5797028,5797028,CHANDAN,BANKA,BANKA,territorial,24.6144,86.6653,BH-5797028,spatial+name,0.923
BH-PS-5797029,5797029,KATORIA,BANKA,BANKA,territorial,24.7478,86.7226,BH-5797029,spatial+name,1.0
BH-PS-5797045,5797045,RAJAUN,BANKA,BANKA,territorial,24.9987,86.989,BH-5797045,spatial+name,1.0
BH-PS-5797046,5797046,SC/ST,BANKA,BANKA,sc_st,24.887,86.9213,,located-in-BH-5797005-not-mapped,0.0
BH-PS-5797047,5797047,MAHILA,BANKA,BANKA,mahila,24.8868,86.9209,,located-in-BH-5797005-not-mapped,0.364
BH-PS-5797048,5797048,Bandhua Kudawali,BANKA,BANKA,territorial,24.7159,86.944,BH-5797048,spatial+name,0.857
BH-PS-5797049,5797049,Dhankund,BANKA,BANKA,territorial,25.0877,87.0946,BH-5797002,spatial-only,0.4
BH-PS-5797050,5797050,Jaipur,BANKA,BANKA,territorial,24.5838,86.8425,BH-5797050,spatial+name,1.0
BH-PS-5797051,5797051,SHAMBHUGANJ,BANKA,BANKA,territorial,25.0837,86.7281,BH-5797051,spatial+name,1.0
BH-PS-5797056,5797056,Suiya,BANKA,BANKA,territorial,24.834,86.6598,BH-5797056,spatial+name,1.0
BH-PS-5797057,5797057,Banka Prohibition,BANKA,BANKA,prohibition,24.89291,86.91318,,located-in-BH-5797005-not-mapped,0.476
BH-PS-5102001,5102001,SAMHO,BEGUSARAI,BEGUSARAI,territorial,25.297,86.1938,BH-5102001,spatial-only,0.526
